country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Slovenia,258190,21,4425,0,253003,9,1373522,2079236,25940,129095,2212,126501,123699118.0,75578618.0,48120500.0,1633408.0,1619971.0
Solomon Islands,20,0,0,0,20,0,4500,704350,2344,0,0,0,74940.0,61834.0,13106.0,0.0,25165.0
Somalia,15085,0,781,0,7268,0,161179,16352583,320,942,48,454,3598437.0,2947877.0,650560.0,19326.0,122408.0
South Africa,2283880,0,66676,0,2028881,0,14205299,60086373,6001,38064,1111,33814,0.0,0.0,0.0,0.0,0.0
Spain,4100222,0,81096,0,3660683,0,54183930,46773661,29564,89135,1762,79580,2223903391.0,1449794556.0,825330923.0,35608369.0,48522553.0
Sri Lanka,283512,0,3733,0,255833,0,4136675,21506797,3851,13500,177,12182,236518835.0,191070183.0,45448652.0,6357355.0,6435853.0
Saint Vincent and the Grenadines,2260,0,12,0,2196,0,57868,111307,7457,0,0,0,447728.0,191671.0,0.0,1309.0,16681.0
Sudan,37138,0,2776,0,30867,0,234414,44911161,753,844,63,701,1046441166.0,839120733.0,247839905.0,21548543.0,21128267.0
Sudan,37138,0,2776,0,30867,0,234414,44911161,753,844,63,701,4575178.0,3928832.0,646346.0,45572.0,666167.0
Suriname,24176,0,607,0,20126,0,86631,592103,7261,0,0,0,7639045.0,6388663.0,1249191.0,105991.0,223516.0
Sweden,1094287,0,14609,0,1072204,2188,11153755,10164851,51686,109428,1460,107220,142763783.0,93033907.0,49729876.0,569749.0,9375467.0
Switzerland,707976,0,10902,0,690364,0,8735091,8720525,85300,88497,1362,86295,549838738.0,332938733.0,203166360.0,8387502.0,8215395.0
Tajikistan,14078,41,110,0,13685,26,0,9759889,890,1564,12,1520,1585367.0,1473250.0,112117.0,0.0,295907.0
United Republic of Tanzania,509,0,21,0,183,0,0,61496600,1085,8,0,3,0.0,0.0,0.0,0.0,0.0
Thailand,403386,11397,3341,101,283910,5726,8129670,69982529,7817,5846,48,4114,0.0,0.0,0.0,0.0,0.0
Timor-Leste,10100,0,26,0,9265,0,95046,1344520,1560,10100,26,9265,498248823.0,362309234.0,135939470.0,13671889.0,13492456.0
Togo,14602,0,137,0,13817,0,384397,8479968,893,1825,17,1727,1362695.0,1197197.0,165498.0,0.0,332003.0
Trinidad and Tobago,35914,0,990,0,29086,0,249610,1404211,16637,35914,990,29086,14668101.0,11334950.0,3333151.0,402182.0,384589.0
Tunisia,540798,0,17354,0,429646,0,2078851,11947297,3351,49163,1577,39058,97062063.0,69590001.0,27471252.0,2087637.0,2188257.0
Turkey,5522039,0,50488,0,5380752,0,64641195,85283311,9126,64965,593,63302,4093282713.0,2550001059.0,1447265213.0,63135845.0,62386978.0
United Arab Emirates,660978,1529,1898,2,638771,1504,62723053,10014696,43103,66097,189,63877,1619502153.0,106799026.0,91094027.0,14235855.0,15441132.0
United Kingdom,5386340,0,128683,0,4390942,0,230446661,68257489,42354,79210,1892,64572,0.0,0.0,0.0,0.0,0.0
United States of America,34953937,0,624715,0,29369181,0,516277662,333024330,65279,104966,1876,88195,8010023327.0,5512273374.0,2497749953.0,79588731.0,81643966.0
Uganda,89974,0,2324,0,66080,0,1418721,47236087,794,1914,49,1405,38970812.0,38961673.0,9139.0,567418.0,1086352.0
Ukraine,2244495,299,52726,8,2181198,241,11151481,43459495,3662,52197,1226,50725,154035072.0,124559162.0,29475910.0,3587313.0,3874697.0
Uruguay,378733,0,5879,0,367967,0,2953943,3486275,17688,126244,1959,122655,298171007.0,187702842.0,110468165.0,4512448.0,4465927.0
Uzbekistan,119388,507,796,3,114303,478,1377915,33973439,1719,3617,24,3463,17867339.0,11739626.0,3655715.0,78652.0,3377568.0
Vanuatu,4,0,1,0,3,0,23000,314589,3102,0,0,0,0.0,0.0,0.0,0.0,0.0
Viet Nam,51002,3098,225,0,10312,0,8434266,98250186,2715,520,2,105,38238.0,38238.0,0.0,0.0,12895.0
Yemen,6977,0,1368,0,4156,0,130247,30507532,824,232,45,138,1593637.0,1585060.0,8577.0,0.0,285946.0
Zambia,184672,0,3052,0,169320,0,2009509,18917322,1305,10259,169,9406,6760736.0,6040621.0,720115.0,197831.0,241945.0
Zimbabwe,82613,0,2588,0,51923,0,951812,15087837,1156,5507,172,3461,88880439.0,59807242.0,29073197.0,1638216.0,1547131.0
